Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
Unconventional myosin-IXb,Q13459,0.112,0.032,0.192,0.898,0.274,1.084,-0.054,0.053,0.251,0.086,-0.087,-0.074,-0.482,0.194,-1.707,0.186,-0.161,-0.014,18,-0.51,-1.4,0.03593
Unconventional myosin-XVIIIa,Q92614,-0.118,0.586,-1.474,-0.160,0.039,0.650,-0.705,-0.106,-0.279,-0.077,-0.264,0.254,0.039,-1.023,-0.638,0.158,0.105,-0.266,18,-0.08,-1.1,0.95069
"UPF0160 protein MYG1, mitochondrial",Q9HB07,-0.430,0.102,-0.018,0.398,-0.253,0.026,-0.473,0.057,-1.099,0.540,-0.336,0.088,0.173,-0.518,0.120,1.054,-0.128,0.535,18,0.38,1.3,0.12015
"UPF0317 protein C14orf159, mitochondrial",Q7Z3D6,-4.350,1.214,-0.248,0.420,0.327,-3.641,,,,0.125,-4.302,1.878,-3.418,0.540,0.088,,,,12,0.34,1.3,0.88865
UPF0368 protein Cxorf26,Q9BVG4,0.006,-0.127,0.299,0.117,-0.069,-0.003,-0.095,-0.255,0.144,-0.153,0.218,-0.750,0.077,-0.361,-0.269,0.236,-0.482,-0.056,18,-0.15,-1.1,0.17904
UPF0449 protein C19orf25,Q9UFG5,,,,,,,0.771,-1.582,1.980,,,,,,,-1.168,1.156,-0.306,6,-0.78,-1.7,0.71124
UPF0464 protein C15orf44,Q96SY0,0.911,0.790,0.392,1.030,0.751,0.326,,,,0.578,0.751,0.737,0.472,1.083,0.498,,,,12,-0.02,-1.0,0.92960
UPF0468 protein C16orf80,Q9Y6A4,,,,0.317,0.172,0.078,0.586,-0.025,0.386,,,,-0.081,-0.027,0.623,0.346,-0.132,-0.078,12,-0.13,-1.1,0.37289
UPF0469 protein KIAA0907,Q7Z7F0,,,,-0.478,-0.452,-0.610,,,,,,,-0.199,-0.862,-0.358,,,,6,0.07,1.0,0.85512
UPF0515 protein C19orf66,Q9NUL5,,,,0.478,0.425,0.279,,,,,,,1.036,0.545,0.213,,,,6,0.24,1.2,0.45451
UPF0549 protein C20orf43,Q9BY42,-0.011,-0.023,-0.143,-0.542,-0.369,-0.010,0.221,0.578,-1.094,0.043,0.162,-0.196,0.016,0.455,0.283,-0.112,0.193,0.048,18,0.20,1.1,0.15974
UPF0553 protein C9orf64,Q5T6V5,-0.779,-0.447,-0.261,-0.283,-0.628,-0.483,,,,-0.301,-0.792,-1.377,-0.270,-1.333,-0.961,,,,12,-0.30,-1.2,0.12322
UPF0556 protein C19orf10,Q969H8,,,,,,,-0.039,0.411,0.160,,,,,,,0.199,0.385,-0.039,6,0.00,1.0,0.98158
UPF0568 protein C14orf166,Q9Y224,0.441,0.322,-2.015,0.419,-0.204,-1.652,-0.702,0.468,-0.408,0.707,0.482,-0.303,0.445,0.525,0.100,-0.156,0.761,-0.329,18,0.45,1.4,0.08947
UPF0587 protein C1orf123,Q9NWV4,0.430,0.137,0.696,0.228,-0.197,0.415,-1.004,1.163,0.578,0.416,0.761,-1.668,0.560,-0.649,0.415,0.778,-0.524,-0.220,18,-0.21,-1.2,0.41311
UPF0598 protein C8orf82,Q6P1X6,,,,-0.092,0.825,0.639,0.676,0.291,0.278,,,,0.599,0.785,-0.105,0.570,0.823,0.013,12,0.02,1.0,0.95871
UPF0609 protein C4orf27,Q9NWY4,0.206,0.605,0.804,0.383,-0.930,1.168,0.220,0.380,0.220,0.473,0.060,-0.988,1.407,-0.454,-0.414,-0.338,0.420,0.260,18,-0.22,-1.2,0.34629
UPF0693 protein C10orf32,Q96B45,-0.232,-0.074,-0.605,0.047,-0.246,-0.511,,,,0.113,-0.803,0.033,-0.126,-0.937,0.206,,,,12,0.07,1.0,0.93823
UPF0696 protein C11orf68,Q9H3H3,,,,-0.164,-0.257,-0.230,-0.035,-0.939,-0.088,,,,-0.030,0.101,-0.257,0.203,-0.222,0.243,12,0.28,1.2,0.09906
Upstream stimulatory factor 1,P22415,-0.370,-0.436,-0.423,,,,-0.294,0.077,-0.201,-0.038,-0.423,0.268,,,,-0.348,-0.414,-0.241,12,0.09,1.1,0.59007
Uracil phosphoribosyltransferase homolog,Q96BW1,,,,,,,0.000,0.094,-0.504,,,,,,,0.505,0.132,-0.253,6,0.27,1.2,0.40831
Uridine 5'-monophosphate synthase,P11172,0.391,0.086,0.311,0.591,0.843,0.152,0.187,0.187,0.267,0.086,0.059,0.471,-0.459,-0.021,0.298,0.413,-0.225,0.573,18,-0.19,-1.1,0.16547
Uroporphyrinogen decarboxylase,P06132,0.094,0.160,0.172,,,,,,,0.731,0.465,-0.811,,,,,,,6,0.12,1.1,0.97860
UTP--glucose-1-phosphate uridylyltransferase,Q16851,-0.838,-0.094,0.212,0.573,0.002,-0.237,-0.173,-0.625,0.105,0.225,-0.147,-1.474,-0.742,-1.873,0.160,0.518,-1.462,-0.480,18,-0.31,-1.2,0.16255
UV excision repair protein RAD23 homolog A,P54725,0.608,0.011,0.329,0.019,0.684,-0.353,-0.202,0.715,0.409,0.449,0.781,-0.295,0.072,0.259,1.202,0.489,-0.176,0.648,18,0.16,1.1,0.52332
UV excision repair protein RAD23 homolog B,P54727,0.162,0.083,-0.808,-0.081,-0.666,-1.064,-0.678,0.530,-0.454,-0.038,0.468,-0.221,1.048,-0.135,0.543,0.397,-0.015,-0.134,18,0.52,1.4,0.02880
UV radiation resistance-associated gene protein,Q9P2Y5,0.199,0.160,0.318,,,,,,,0.080,0.106,-0.026,,,,,,,6,-0.17,-1.1,0.05083
Vacuolar protein sorting-associated protein 13C,Q709C8,0.222,-0.402,0.129,-0.022,-0.048,0.190,-0.547,0.172,0.079,-0.190,-0.084,-1.397,-0.765,-0.884,-0.195,0.064,-0.454,-1.037,18,-0.47,-1.4,0.01357
Vacuolar protein sorting-associated protein 16 homolog,Q9H269,,,,0.199,-0.026,0.265,,,,,,,0.372,-0.385,0.106,,,,6,-0.09,-1.1,0.65446
Vacuolar protein sorting-associated protein 18 homolog,Q9P253,,,,-0.637,-0.718,-1.221,,,,,,,0.054,-0.358,-0.466,,,,6,0.60,1.5,0.06755
Vacuolar protein sorting-associated protein 26A,O75436,-0.204,0.779,0.101,-0.429,0.064,0.236,-0.310,-0.018,0.141,0.007,0.035,-0.338,0.449,0.077,-0.016,0.048,0.300,0.221,18,0.02,1.0,0.74048
Vacuolar protein sorting-associated protein 29,Q9UBQ0,-0.301,0.151,-0.472,-0.402,0.009,-0.364,-0.360,-0.241,-0.227,0.098,-0.088,-1.045,0.129,-0.853,-0.176,-0.267,-0.360,-0.201,18,-0.03,-1.0,0.68409
Vacuolar protein sorting-associated protein 33A,Q96AX1,0.303,-0.202,0.529,-0.021,0.085,-0.233,-0.708,0.435,0.330,0.249,-0.017,-0.069,0.577,0.019,0.365,0.741,-0.188,0.183,18,0.13,1.1,0.38559
Vacuolar protein sorting-associated protein 33B,Q9H267,0.094,0.080,-0.862,,,,,,,0.293,-0.318,0.943,,,,,,,6,0.56,1.5,0.32925
Vacuolar protein sorting-associated protein 35,Q96QK1,0.705,0.559,1.090,0.809,0.410,1.261,0.506,0.652,0.892,1.037,0.412,-0.690,1.141,-1.184,0.676,1.370,-1.768,1.463,18,-0.16,-1.1,0.24528
Vacuolar protein sorting-associated protein 41 homolog,P49754,0.047,0.021,0.593,-0.051,0.015,0.055,-0.170,0.281,-0.795,0.021,-0.455,-1.504,-0.131,-0.556,-0.609,-0.756,-0.317,0.480,18,-0.37,-1.3,0.07349
Vacuolar protein sorting-associated protein 45,Q9NRW7,0.425,0.372,0.664,,,,,,,0.318,0.066,0.545,,,,,,,6,-0.17,-1.1,0.34279
Vacuolar protein sorting-associated protein 4A,Q9UN37,-0.519,-0.240,0.398,,,,,,,-0.066,-0.026,-0.624,,,,,,,6,-0.15,-1.1,0.73922
Vacuolar protein sorting-associated protein 4B,O75351,0.308,0.720,1.026,0.568,0.103,0.369,0.147,0.186,0.306,0.042,0.401,-1.722,0.182,0.010,-0.456,-0.052,0.068,0.120,18,-0.51,-1.4,0.02610
Vacuolar protein sorting-associated protein 51 homolog,Q9UID3,,,,0.372,1.023,0.425,,,,,,,1.860,0.797,0.891,,,,6,0.63,1.5,0.22208
Vacuolar protein sorting-associated protein 72 homolog,Q15906,,,,-0.046,-0.073,-0.019,0.127,-0.033,-0.019,,,,0.179,0.166,0.074,0.127,-0.233,0.312,12,0.12,1.1,0.18234
Vacuolar protein sorting-associated protein VTA1 homolog,Q9NP79,0.332,0.119,0.545,,,,,,,0.332,0.265,-0.013,,,,,,,6,-0.14,-1.1,0.44520
Vacuolar protein-sorting-associated protein 25,Q9BRG1,0.786,0.016,2.235,0.333,0.333,-0.332,0.887,0.275,0.607,-0.382,1.411,-1.086,1.423,0.200,1.024,1.219,1.046,-1.053,18,-0.07,-1.0,0.72823
Vacuolar-sorting protein SNF8,Q96H20,0.013,-0.346,0.372,,,,,,,-0.173,0.132,-0.651,,,,,,,6,-0.24,-1.2,0.47321
Valacyclovir hydrolase,Q86WA6,,,,-0.304,-0.225,-0.357,0.928,-0.532,-0.519,,,,-1.514,0.772,0.745,-1.289,0.410,0.119,12,0.19,1.1,0.93127
Valine--tRNA ligase,P26640,-0.333,0.345,1.049,0.449,-0.641,0.542,-1.617,0.443,-0.009,0.332,0.118,-1.514,0.449,-1.665,0.861,1.106,0.056,0.017,18,0.02,1.0,0.90209
Valyl-tRNA synthetase,P26640,-0.333,0.345,1.049,0.449,-0.641,0.542,-1.617,0.443,-0.009,0.332,0.118,-1.514,0.449,-1.665,0.861,1.106,0.056,0.017,18,0.02,1.0,0.90209
Vam6/Vps39-like protein,Q96JC1,-0.077,0.095,0.082,0.246,-0.073,-0.260,-0.261,-0.394,0.456,-0.131,-0.210,-0.117,-0.112,-0.073,-0.086,-0.102,0.151,-0.208,18,-0.10,-1.1,0.43194
Vasodilator-stimulated phosphoprotein,P50552,0.114,-0.696,1.550,-0.093,0.093,0.545,-0.884,0.297,-0.857,-0.854,0.035,-2.583,-1.222,-0.746,-1.011,0.431,-1.202,-0.219,18,-0.82,-1.8,0.04977
"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",P49748,0.213,0.386,-2.007,-0.276,0.694,0.281,0.873,-0.230,-0.151,-0.291,-1.022,1.702,0.096,-0.197,-1.616,-1.265,0.475,-0.722,18,-0.11,-1.1,0.51500
Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3,Q9P035,,,,0.147,0.041,-0.278,0.757,0.956,0.291,,,,0.254,0.307,0.174,-0.187,0.424,-1.596,12,-0.36,-1.3,0.27058
Vesicle transport protein GOT1B,Q9Y3E0,-0.039,0.147,0.080,,,,,,,0.411,-0.358,0.293,,,,,,,6,0.09,1.1,0.83998
Vesicle transport through interaction with t-SNAREs homolog 1B,Q9UEU0,-0.117,-0.514,0.030,,,,0.156,-0.615,0.037,-0.169,-0.288,0.110,,,,-0.707,0.223,-0.043,12,0.03,1.0,0.89750
Vesicle-associated membrane protein 2,P63027,,,,-0.555,0.335,-0.276,-0.056,-0.016,-0.509,,,,0.455,-0.621,-0.129,-0.800,0.064,0.528,12,0.15,1.1,0.72206
Vesicle-associated membrane protein 8,Q9BV40,-0.217,0.195,-0.588,-1.005,0.045,-0.394,,,,-0.018,-0.802,-0.057,0.416,0.018,-0.567,,,,12,0.16,1.1,0.54356
Vesicle-associated membrane protein-associated protein A,Q9P0L0,0.634,0.528,0.116,0.269,0.800,-0.793,0.651,-0.013,-0.013,0.289,-0.642,0.833,0.614,0.999,-0.129,-0.119,0.705,0.546,18,0.12,1.1,0.68045
Vesicle-associated membrane protein-associated protein B/C,O95292,,,,-0.597,0.252,-0.637,,,,,,,-0.411,0.239,-0.160,,,,6,0.18,1.1,0.56559
Vesicle-fusing ATPase,P46459,-0.464,0.308,-0.690,-0.509,0.885,-0.657,-0.395,-0.010,-0.195,-0.158,0.653,0.334,0.273,-0.138,0.128,0.216,0.031,0.336,18,0.31,1.2,0.06613
Vesicle-trafficking protein SEC22b,O75396,-0.272,-0.485,0.339,-0.453,0.078,-1.439,-0.137,-0.590,-0.163,-0.153,-0.724,-0.233,-0.162,0.290,0.158,-0.310,-0.602,0.275,18,0.15,1.1,0.38294
Vesicular integral-membrane protein VIP36,Q12907,1.136,0.644,1.043,0.483,0.709,0.709,1.676,0.069,1.079,0.977,0.100,1.588,0.217,1.931,1.440,0.348,1.344,0.973,18,0.21,1.2,0.57376
Vigilin,Q00341,0.030,0.708,0.735,0.588,0.575,1.439,0.457,0.272,0.590,1.120,0.601,0.482,1.067,0.163,-0.155,0.843,0.551,0.963,18,0.03,1.0,0.89057
Vimentin,P08670,1.116,-1.170,0.000,-0.058,-0.191,0.035,-1.950,0.496,0.456,-2.219,1.568,0.386,-0.071,-0.004,-0.031,0.735,1.214,-1.270,18,0.31,1.2,0.73057
Vimentin-type intermediate filament-associated coiled-coil protein,Q2NL98,-0.226,-0.026,-0.411,,,,,,,0.213,0.027,-0.438,,,,,,,6,0.17,1.1,0.52572
Vinculin,P18206,-0.553,-0.090,-1.325,-1.367,0.494,2.195,-0.153,-0.352,-0.379,-1.097,-0.169,-0.448,-2.297,-2.365,-0.343,-0.977,-0.498,-1.323,18,-1.15,-2.2,0.06414
Vitamin D-binding protein,P02774,,,,-0.346,-0.240,0.265,,,,,,,0.678,0.531,-0.849,,,,6,0.34,1.3,0.68665
Voltage-dependent anion-selective channel protein 1,P21796,0.404,0.804,-1.056,0.179,-0.499,0.817,0.412,0.172,0.611,-0.073,0.592,0.697,0.672,-0.139,0.339,-0.199,0.930,-0.558,18,0.02,1.0,0.86532
Voltage-dependent anion-selective channel protein 2,P45880,0.832,0.740,-2.442,-0.469,-0.495,0.316,-0.019,0.181,0.513,-0.841,0.912,1.098,0.674,0.196,0.076,-0.630,0.632,-0.378,18,0.20,1.2,0.48927
Voltage-dependent anion-selective channel protein 3,Q9Y277,0.176,0.774,-2.493,-0.401,-0.588,0.116,-0.293,-0.200,-0.107,-0.661,0.482,0.243,0.038,-0.176,-0.468,-0.387,-0.107,-0.387,18,0.03,1.0,0.59275
Voltage-gated hydrogen channel 1,Q96D96,1.686,-0.747,-4.043,,,,-0.689,-0.264,0.919,0.649,-0.094,0.715,,,,-0.237,-1.513,-0.051,12,-0.19,-1.1,0.62859
Voltage-gated potassium channel subunit beta-2,Q13303,0.136,0.109,-0.037,0.111,-0.274,0.776,-0.194,0.099,-0.221,-0.356,0.016,-0.288,0.151,0.124,-1.309,0.085,-0.088,-0.101,18,-0.23,-1.2,0.18841
von Willebrand factor,P04275,,,,-0.106,3.282,3.388,,,,,,,-3.146,-0.092,0.106,,,,6,-3.31,-9.9,0.10652
von Willebrand factor A domain-containing protein 8,A3KMH1,,,,,,,0.372,0.080,1.635,,,,,,,0.452,1.727,1.329,6,0.40,1.3,0.47912
von Willebrand factor A domain-containing protein 9,Q96SY0,0.911,0.790,0.392,1.030,0.751,0.326,,,,0.578,0.751,0.737,0.472,1.083,0.498,,,,12,-0.02,-1.0,0.92960
V-type proton ATPase catalytic subunit A,P38606,-1.548,0.123,-0.022,-0.447,-0.580,0.257,0.191,-0.222,-0.128,0.509,-0.049,-0.169,0.230,-0.314,-0.302,0.057,-1.057,0.004,18,0.12,1.1,0.55338
"V-type proton ATPase subunit B, brain isoform",P21281,-0.088,0.444,-0.578,-0.079,0.041,0.306,0.300,-0.631,0.765,0.284,0.125,-0.102,-0.956,0.187,0.585,0.699,-1.480,0.432,18,0.00,1.0,0.78893
V-type proton ATPase subunit C 1,P21283,0.190,-0.009,0.430,-0.102,0.457,0.403,0.164,0.190,0.230,0.735,-0.076,-0.726,0.309,-0.448,-0.075,0.017,-0.101,0.044,18,-0.21,-1.2,0.11672
V-type proton ATPase subunit D,Q9Y5K8,-0.021,0.205,0.059,0.077,0.090,0.236,0.250,0.436,-0.229,-0.141,0.259,0.192,0.436,-0.056,-0.229,-0.043,0.077,0.063,18,-0.06,-1.0,0.52714
V-type proton ATPase subunit d 1,P61421,,,,1.077,1.781,0.094,,,,,,,1.023,1.395,1.276,,,,6,0.10,1.1,0.64736
V-type proton ATPase subunit E 1,P36543,0.111,0.057,-0.103,-0.178,-0.018,-0.018,0.546,0.187,0.480,-0.235,0.044,0.229,0.221,0.047,0.047,-0.211,-0.822,-0.078,18,-0.19,-1.1,0.15501
V-type proton ATPase subunit F,Q16864,,,,0.106,0.172,-0.466,,,,,,,0.094,0.957,0.186,,,,6,0.50,1.4,0.23550
V-type proton ATPase subunit G 1,O75348,-0.417,-0.032,-0.364,-1.019,-0.049,-0.395,0.414,0.706,0.400,-0.456,-0.192,-0.098,0.428,-0.049,-0.475,-1.062,-0.211,-1.806,18,-0.32,-1.3,0.22764
WAS protein family homolog 2,Q6VEQ5,,,,,,,-0.080,0.346,-0.265,,,,,,,0.385,-0.240,0.040,6,0.06,1.0,0.82140
WAS/WASL-interacting protein family member 1,O43516,-0.339,0.035,0.193,-0.570,-0.225,0.001,-1.391,0.377,-0.128,-0.656,-0.538,-0.564,0.014,0.014,-1.102,-0.313,-0.473,0.059,18,-0.20,-1.1,0.44533
WASH complex subunit CCDC53,Q9Y3C0,,,,0.066,-0.199,-0.253,,,,,,,-0.026,0.385,-0.039,,,,6,0.24,1.2,0.24052
WASH complex subunit FAM21A,Q641Q2,-0.133,0.505,0.864,,,,,,,0.160,1.010,-0.120,,,,,,,6,-0.04,-1.0,0.89627
WASH complex subunit FAM21B,Q5SNT6,,,,0.733,-0.450,0.666,0.503,0.848,0.462,,,,0.852,0.322,0.255,1.180,0.516,-1.131,12,-0.03,-1.0,0.74122
WASH complex subunit strumpellin,Q12768,,,,-0.792,-0.059,-0.550,-0.844,-0.033,-1.070,,,,-0.020,-1.148,-0.752,0.100,-0.976,-0.498,12,0.03,1.0,0.97475
WD repeat and FYVE domain-containing protein 1,Q8IWB7,-0.039,0.706,0.294,0.112,0.152,0.298,-0.327,0.099,0.138,1.131,0.135,-1.661,0.338,-0.287,-0.047,0.164,0.020,0.471,18,-0.01,-1.0,0.63255
WD repeat domain phosphoinositide-interacting protein 2,Q9Y4P8,0.182,0.076,0.236,-0.103,0.123,-0.103,,,,0.104,-0.481,0.011,0.282,-0.103,0.030,,,,12,-0.08,-1.1,0.44727
WD repeat domain phosphoinositide-interacting protein 3,Q5MNZ6,,,,,,,-0.969,0.358,-0.092,,,,,,,0.054,-0.730,-0.279,6,-0.15,-1.1,0.86090
WD repeat-containing protein 1,O75083,0.309,0.747,-0.489,0.378,0.178,-0.021,-0.448,0.417,0.843,-0.090,0.614,-1.406,0.178,-0.328,-0.699,0.443,-1.283,-0.287,18,-0.45,-1.4,0.07908
WD repeat-containing protein 18,Q9BV38,-0.031,0.180,-0.072,0.005,-0.101,0.125,,,,0.247,-0.059,0.061,0.165,-0.021,0.152,,,,12,0.07,1.1,0.29651
WD repeat-containing protein 26,Q9H7D7,,,,0.078,-0.347,0.396,0.374,0.162,0.826,,,,0.569,0.343,0.595,0.241,0.135,-0.104,12,0.02,1.0,0.80757
WD repeat-containing protein 3,Q9UNX4,0.043,-0.582,0.428,0.103,-0.044,0.381,0.187,0.121,0.027,-0.037,0.189,0.787,-0.017,0.329,0.077,0.160,0.121,0.213,18,0.12,1.1,0.32805
WD repeat-containing protein 33,Q9C0J8,,,,,,,1.329,0.358,1.754,,,,,,,0.864,1.834,0.119,6,-0.15,-1.1,0.76337
WD repeat-containing protein 36,Q8NI36,1.475,1.155,1.475,1.377,1.669,1.829,2.132,1.215,1.773,1.740,1.394,1.581,0.819,1.403,1.722,1.614,1.614,0.471,18,-0.17,-1.1,0.29760
WD repeat-containing protein 37,Q9Y2I8,,,,1.435,1.077,0.983,,,,,,,0.983,1.156,0.771,,,,6,-0.20,-1.1,0.33249
WD repeat-containing protein 43,Q15061,-1.462,-0.465,-0.173,-0.007,-0.697,-1.244,0.567,-1.213,-0.112,0.279,-0.585,0.703,-0.790,0.750,0.284,-0.390,-0.205,-0.350,18,0.46,1.4,0.10604
WD repeat-containing protein 44,Q5JSH3,-0.180,0.431,0.764,-0.372,-0.281,0.411,-0.324,-0.391,0.021,-0.113,0.179,-2.388,-0.054,-0.666,-0.346,-0.098,-0.324,-0.191,18,-0.38,-1.3,0.13998
WD repeat-containing protein 46,O15213,,,,0.054,0.717,0.651,,,,,,,-0.318,0.332,0.239,,,,6,-0.39,-1.3,0.25404
WD repeat-containing protein 5,P61964,,,,-0.095,0.065,-0.069,0.640,-0.369,0.254,,,,0.184,0.263,0.130,0.029,0.214,-0.290,12,-0.01,-1.0,0.91747
WD repeat-containing protein 55,Q9H6Y2,,,,-0.038,-0.369,0.122,-0.241,0.024,0.170,,,,-0.317,0.215,0.015,-0.055,-0.281,0.011,12,-0.01,-1.0,0.91274
WD repeat-containing protein 59,Q6PJI9,,,,0.265,-0.226,-0.452,,,,,,,-0.504,0.040,0.080,,,,6,0.00,1.0,0.97519
WD repeat-containing protein 61,Q9GZS3,0.062,-0.230,-0.283,-0.075,0.151,-0.235,0.172,-0.013,-0.186,-0.124,-0.005,0.394,0.018,0.044,-0.089,-0.080,0.120,-0.199,18,0.08,1.1,0.34241
WD repeat-containing protein 74,Q6RFH5,-0.438,-0.610,-0.080,,,,,,,-0.199,-0.597,0.147,,,,,,,6,0.17,1.1,0.58032
WD repeat-containing protein 75,Q8IWA0,0.408,0.301,0.806,0.284,1.466,0.669,,,,0.886,0.314,0.938,-1.045,1.599,0.682,,,,12,0.04,1.0,0.82371
WD repeat-containing protein 82,Q6UXN9,0.169,0.448,-0.296,-0.153,0.392,-0.471,0.143,0.076,0.156,0.182,-0.229,0.130,-0.377,0.738,0.273,-0.031,0.341,-0.283,18,0.04,1.0,0.84437
WD repeat-containing protein 91,A4D1P6,-0.107,0.890,0.239,0.258,0.311,0.564,0.049,0.806,-0.405,1.076,-0.001,-0.040,0.418,0.193,0.311,0.407,0.380,0.819,18,0.09,1.1,0.57141
WD repeat-containing protein mio,Q9NXC5,0.492,0.425,0.425,,,,,,,0.585,-0.783,0.731,,,,,,,6,-0.13,-1.1,0.60596
WD40 repeat-containing protein SMU1,Q2TAY7,0.565,0.260,-1.348,-0.014,-0.121,-1.250,0.964,-1.016,0.008,-0.351,-0.723,0.964,-0.361,0.398,0.716,-0.576,0.061,-0.072,18,0.14,1.1,0.51428
Williams-Beuren syndrome chromosomal region 16 protein,Q96I51,,,,,,,-0.718,0.040,1.356,,,,,,,0.943,0.199,0.411,6,0.07,1.0,0.67406
Wings apart-like protein homolog,Q7Z5K2,,,,0.418,0.166,-0.046,0.366,-0.073,0.445,,,,-0.020,0.193,0.086,0.139,-0.033,-0.047,12,-0.17,-1.1,0.15369
Wiskott-Aldrich syndrome protein,P42768,-0.283,0.368,0.488,-1.141,-0.663,0.838,-1.765,0.269,0.694,0.036,0.355,-1.412,0.758,-0.611,0.372,0.720,-1.061,0.694,18,0.08,1.1,0.77682
Wiskott-Aldrich syndrome protein family member 2,Q9Y6W5,-0.094,0.491,-0.321,-0.251,-0.198,0.799,0.080,-0.200,0.185,-0.226,0.743,0.119,0.918,-0.184,-0.371,0.384,0.065,0.198,18,0.14,1.1,0.51397
WW domain-binding protein 11,Q9Y2W2,0.131,-0.200,0.238,0.041,0.041,-0.078,0.107,0.054,0.174,-0.002,0.118,0.131,0.080,0.186,0.146,-0.039,0.054,0.067,18,0.02,1.0,0.60981
WW domain-containing adapter protein with coiled-coil,Q9BTA9,,,,,,,-0.333,-0.306,-0.092,,,,,,,-0.240,-0.292,-0.438,6,-0.08,-1.1,0.45650
Xaa-Pro aminopeptidase 1,Q9NQW7,0.066,-0.106,-0.092,,,,,,,0.252,-0.092,-0.318,,,,,,,6,0.01,1.0,0.96260
Xaa-Pro dipeptidase,P12955,-0.530,0.905,0.160,-0.142,-0.236,-0.208,-0.071,-0.802,-0.046,0.308,0.055,-2.071,-0.142,-0.155,-0.289,0.420,-0.749,0.074,18,-0.12,-1.1,0.56210
X-ray repair cross-complementing protein 5,P13010,0.554,-0.563,1.138,1.444,0.129,-1.239,0.513,-0.629,0.501,0.620,0.727,-0.868,0.168,0.553,0.553,0.939,0.408,-0.124,18,-0.01,-1.0,0.71967
X-ray repair cross-complementing protein 6,P12956,0.821,-1.211,0.875,1.760,0.764,-0.539,1.033,-0.775,0.341,0.516,0.356,-0.162,-2.040,0.193,1.057,1.165,-0.989,0.421,18,-0.30,-1.2,0.55398
YEATS domain-containing protein 4,O95619,-0.080,-0.438,-0.199,,,,,,,-0.133,-0.120,0.013,,,,,,,6,0.15,1.1,0.23927
YLP motif-containing protein 1,P49750,-0.007,0.165,0.072,0.083,-0.315,-0.037,-0.090,-0.196,0.323,0.218,0.178,0.338,0.203,0.535,0.495,0.176,0.588,0.163,18,0.32,1.2,0.00173
Zinc finger and BTB domain-containing protein 40,Q9NUA8,-0.540,-0.248,-0.221,-0.827,-0.204,-0.416,,,,-0.115,-0.394,-0.142,0.261,-0.071,-0.404,,,,12,0.27,1.2,0.08900
Zinc finger and BTB domain-containing protein 7A,O95365,,,,-0.146,-0.120,0.119,,,,,,,-0.120,0.385,0.147,,,,6,0.20,1.1,0.33149
Zinc finger CCCH domain-containing protein 11A,O75152,-0.390,-0.469,0.486,-0.022,-0.182,-0.142,-0.119,0.120,-0.571,-0.588,0.235,0.181,-0.075,-0.128,0.005,0.106,-0.040,-0.040,18,0.09,1.1,0.44513
Zinc finger CCCH domain-containing protein 13,Q5T200,,,,-0.013,-0.160,-0.173,,,,,,,0.094,0.054,-0.240,,,,6,0.09,1.1,0.50921
Zinc finger CCCH domain-containing protein 14,Q6PJT7,-0.200,-0.094,-0.572,-0.202,-0.242,-0.322,0.056,-1.033,0.177,-0.174,-0.306,0.239,0.011,-0.056,-0.295,0.017,-0.275,-0.049,18,0.15,1.1,0.21751
Zinc finger CCCH domain-containing protein 15,Q8WU90,0.900,0.914,0.396,0.591,0.298,0.391,-0.760,0.515,0.276,-0.070,0.541,-0.454,0.271,0.245,0.431,0.702,0.807,0.688,18,-0.06,-1.0,0.85377
Zinc finger CCCH domain-containing protein 18,Q86VM9,0.555,-0.174,-1.226,0.434,-0.164,-1.718,0.684,-0.777,-0.047,-0.798,-0.214,0.875,0.328,0.913,-0.775,-0.710,0.472,-0.605,18,0.18,1.1,0.56504
Zinc finger CCCH domain-containing protein 4,Q9UPT8,-0.877,0.345,0.518,0.123,-0.460,-0.434,0.181,-0.801,0.661,0.505,-0.212,-0.783,0.084,0.483,-0.301,-0.350,0.554,-0.749,18,-0.02,-1.0,0.99112
Zinc finger CCCH-type antiviral protein 1,Q7Z2W4,-0.055,0.211,0.077,-0.207,-0.008,0.550,0.009,-0.044,0.142,-0.200,-0.068,-0.028,-0.274,-0.287,0.164,-0.242,-0.124,0.196,18,-0.18,-1.1,0.08638
Zinc finger CCCH-type with G patch domain-containing protein,Q8N5A5,-0.271,-0.111,0.207,-0.113,-0.220,0.510,,,,0.339,0.579,-0.178,0.324,-0.127,0.191,,,,12,0.18,1.1,0.29759
Zinc finger CCHC domain-containing protein 8,Q6NZY4,-0.120,-0.466,-0.199,,,,-1.263,-0.612,-0.612,-0.319,-0.412,-0.506,,,,0.212,0.132,0.120,12,0.40,1.3,0.07667
Zinc finger matrin-type protein 2,Q96NC0,,,,,,,0.438,0.638,0.239,,,,,,,0.306,0.638,0.625,6,0.08,1.1,0.62195
Zinc finger MYM-type protein 2,Q9UBW7,,,,-0.257,0.288,-0.098,0.376,0.110,0.244,,,,-0.057,0.221,-0.057,-0.048,0.071,-0.713,12,-0.20,-1.1,0.23570
